_id,co_uf,no_uf,ano,variavel,social_categoria,social_subcategoria,valor
1,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),24839.0
2,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,111275.0
3,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,55947.0
4,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,31536.0
5,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),37969.0
6,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,393153.0
7,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,202540.0
8,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,95505.0
9,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,223597.0
10,11,Rondônia,2012,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",198758.0
11,11,Rondônia,2012,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,729167.0
12,11,Rondônia,2012,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",691198.0
13,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),36492.0
14,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,108080.0
15,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,60002.0
16,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,45238.0
17,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),56550.0
18,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,369709.0
19,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,213182.0
20,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,136809.0
21,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,249812.0
22,11,Rondônia,2013,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",213320.0
23,11,Rondônia,2013,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,776250.0
24,11,Rondônia,2013,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",719700.0
25,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),47637.0
26,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,111391.0
27,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,61097.0
28,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,52524.0
29,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),74765.0
30,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,372341.0
31,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,212698.0
32,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,158206.0
33,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,272649.0
34,11,Rondônia,2014,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",225012.0
35,11,Rondônia,2014,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,818010.0
36,11,Rondônia,2014,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",743245.0
37,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,350.0
38,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,629.0
39,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),49799.0
40,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 1*,78952.0
41,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 2**,53152.0
42,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal na FAIXA 3***,62947.0
43,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de famílias com os cadastros atualizados e com renda per capita mensal até meio salário mínimo,126920.0
44,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),81451.0
45,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 1*,258660.0
46,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 2**,184386.0
47,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade de pessoas cadastradas em famílias com renda per capita mensal na FAIXA 3***,195109.0
48,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade total de famílias cadastradas,244850.0
49,11,Rondônia,2015,Assistência Social,CadÚnico,"Quantidade total de famílias cadastradas com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",195051.0
50,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade total de famílias com os cadastros atualizados,156087.0
51,11,Rondônia,2015,Assistência Social,CadÚnico,Quantidade total de pessoas cadastradas,719606.0
52,11,Rondônia,2015,Assistência Social,CadÚnico,"Quantidade total de pessoas cadastradas em famílias com renda per capita mensal até meio salário mínimo (FAIXAS 1, 2 e 3)*",638155.0
53,11,Rondônia,2015,Assistência Social,CadÚnico,Taxa de atualização cadastral - a taxa é obtida pela divisão do Total de Famílias com cadastro atualizado pelo Total de Famílias cadastradas no Cadastro Único.,0.6374800899
54,11,Rondônia,2015,Assistência Social,CadÚnico,Taxa de atualização cadastral até 1/2 Sal. min. - a taxa é obtida pela divisão do Total de Famílias com renda até 1/2 Sal. min. com cadastro atualizado pelo Total de Famílias cadastradas com renda até 1/2 Sal. min. no Cadastro Único.,0.6507016114
55,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias beneficiárias do Programa Bolsa Família/Auxílio Brasil com algum membro em situação de trabalho infantil,202.0
56,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com algum membro em situação de trabalho infantil,351.0
57,11,Rondônia,2016,Assistência Social,CadÚnico,Quantidade de famílias cadastradas com renda per capita mensal acima de meio salário mínimo (FAIXA 4****),60323.0
